species,area,mean fl,exp time,fl/exp,milifl/exp
ea_pMRE,1.253,233.658,100,2.33658,2336.58
ea_pMRE,1.591,182.668,100,1.82668,1826.68
ea_pMRE,1.047,171.677,100,1.71677,1716.77
ea_pMRE,1.195,95.841,50,1.91682,1916.82
ea_pMRE,0.899,62.596,50,1.25192,1251.92
ea_pMRE,1.088,136.227,50,2.72454,2724.54
ea_pMRE,0.981,41.471,50,0.82942,829.42
ea_pMRE,1.286,49.128,50,0.98256,982.56
ea_pMRE,1.575,198.346,50,3.96692,3966.92
ea_pMRE,1.113,61.444,50,1.22888,1228.88
ea_pMRE,0.882,72.234,50,1.44468,1444.68
ea_pMRE,1.286,209.474,50,4.18948,4189.48
ea_pMRE,0.923,89.839,50,1.79678,1796.78
ea_pMRE,1.204,79.479,50,1.58958,1589.58
ea_pMRE,0.8,114.186,50,2.28372,2283.72
ea_pMRE,0.734,134.337,50,2.68674,2686.74
ea_pMRE,0.89,115.815,50,2.3163,2316.3
ea_pMRE,0.923,74.741,50,1.49482,1494.82
ea_pMRE,1.146,70.381,50,1.40762,1407.62
ea_pMRE,0.857,163.644,50,3.27288,3272.88
ea_pMRE,1.072,37.554,50,0.75108,751.08
ea_pMRE,0.833,29.941,50,0.59882,598.82
ea_pMRE,0.899,59.862,50,1.19724,1197.24
ea_tn5,1.698,16.801,100,0.16801,168.01
ea_tn5,1.278,17.381,100,0.17381,173.81
ea_tn5,1.402,34.606,100,0.34606,346.06
ea_tn5,0.783,0.937,100,0.00937,9.37
ea_tn5,1.451,12.312,100,0.12312,123.12
ea_tn5,0.874,1.16,100,0.0116,11.6
ea_tn5,0.561,31.971,100,0.31971,319.71
ea_tn5,1.789,13.295,100,0.13295,132.95
ea_tn5,1.443,33.457,100,0.33457,334.57
ea_tn5,1.237,21.433,100,0.21433,214.33
ea_tn5,1.179,31.79,100,0.3179,317.9
ea_tn5,1.162,16.872,100,0.16872,168.72
ea_tn5,1.097,5.301,100,0.05301,53.01
ea_tn5,1.525,21.211,100,0.21211,212.11
ea_tn5,1.088,24.318,100,0.24318,243.18
ea_tn5,0.857,25.769,100,0.25769,257.69
ea_tn5,1.113,40.052,100,0.40052,400.52
ea_tn5,1.451,15.614,100,0.15614,156.14
ea_tn5,1.723,11.129,100,0.11129,111.29
ea_tn5,1.764,9.869,100,0.09869,98.69
ea_tn5,0.668,0.963,100,0.00963,9.63
ea_tn5,0.783,0.926,100,0.00926,9.26
ea_tn5,1.55,9.096,100,0.09096,90.96
ea_tn5,1.27,10.325,100,0.10325,103.25
ea_tn5,1.228,9.725,100,0.09725,97.25
ea_tn5,1.599,16.753,100,0.16753,167.53
ea_tn5,1.162,11.099,100,0.11099,110.99
ea_tn5,1.22,69.831,100,0.69831,698.31
ea_tn5,1.36,188.194,100,1.88194,1881.94
ea_tn5,1.385,60.143,100,0.60143,601.43
ea_tn5,1.138,157.449,100,1.57449,1574.49
ea_tn5,1.253,104.822,100,1.04822,1048.22
ea_tn5,1.352,62.457,100,0.62457,624.57
ea_tn5,1.055,111.203,100,1.11203,1112.03
ea_tn5,1.294,94.567,100,0.94567,945.67
ea_tn5,2.259,146.277,100,1.46277,1462.77
ea_tn5,1.319,76.1,100,0.761,761
ea_tn5,1.088,4.462,100,0.04462,44.62
ea_tn5,1.426,69.445,100,0.69445,694.45
ea_tn5,1.558,91.704,100,0.91704,917.04
ea_tn5,0.973,85.915,100,0.85915,859.15
ea_tn5,1.121,31.441,100,0.31441,314.41
ea_tn5,1.707,31.401,100,0.31401,314.01
ea_tn5,1.525,37.886,100,0.37886,378.86
ea_tn5,0.61,44.784,100,0.44784,447.84
ea_tn5,1.608,63.062,100,0.63062,630.62
ea_tn5,1.113,66.496,100,0.66496,664.96
ea_tn5,1.195,39.179,100,0.39179,391.79
ea_tn5,1.632,53.409,100,0.53409,534.09
ea_tn5,1.55,37.691,100,0.37691,376.91
ea_tn5,1.542,45.032,100,0.45032,450.32
ea_tn5,1.501,36.462,100,0.36462,364.62
ea_tn5,1.583,55.073,100,0.55073,550.73
ea_tn5,1.072,26.431,100,0.26431,264.31
ea_tn5,1.121,90.162,100,0.90162,901.62
ea_tn5,1.55,67.351,100,0.67351,673.51
ea_tn5,1.08,31.885,100,0.31885,318.85
ea_tn5,1.426,44.185,100,0.44185,441.85
ea_tn5,1.517,30.141,100,0.30141,301.41
ea_tn5,1.723,32.885,100,0.32885,328.85
ea_tn5,1.657,90.846,100,0.90846,908.46
ea_tn5,1.286,24.397,100,0.24397,243.97
ea_tn5,1.435,68.017,100,0.68017,680.17
ea_tn5,1.847,49.554,100,0.49554,495.54
ea_tn5,0.923,10.5,100,0.105,105
ea_tn5,1.014,62.293,100,0.62293,622.93
ea_tn5,0.808,51.939,100,0.51939,519.39
ea_tn5,1.517,48.609,100,0.48609,486.09
ea_tn5,1.113,50.741,100,0.50741,507.41
ea_tn5,1.237,39.9,100,0.399,399
ea_tn5,1.616,27.73,100,0.2773,277.3
ea_tn5,2.482,63.615,100,0.63615,636.15
ea_tn5,1.55,59.085,100,0.59085,590.85
ea_tn5,1.418,46.081,100,0.46081,460.81
ea_tn5,1.245,49.735,100,0.49735,497.35
ea_tn5,2.168,59.084,100,0.59084,590.84
ea_tn5,1.501,56.593,100,0.56593,565.93
ea_tn5,2.366,27.031,100,0.27031,270.31
ea_tn5,1.435,81.77,100,0.8177,817.7
ea_tn5,1.468,46.006,100,0.46006,460.06
ea_tn5,1.443,54.423,100,0.54423,544.23
ea_tn5,1.319,30.419,100,0.30419,304.19
ea_tn5,0.693,40.274,100,0.40274,402.74
ea_tn5,2.548,36.89,100,0.3689,368.9
ea_tn5,1.121,18.787,100,0.18787,187.87
ea_tn5,1.294,15.382,100,0.15382,153.82
ea_tn5,1.261,14.261,100,0.14261,142.61
ea_tn5,1.764,27.009,100,0.27009,270.09
ea_tn5,2.605,98.114,100,0.98114,981.14
ea_tn5,1.591,15.404,100,0.15404,154.04
ea_tn5,1.632,34.909,100,0.34909,349.09
ea_tn5,2.91,38.572,100,0.38572,385.72
ea_tn5,1.426,33.977,100,0.33977,339.77
ea_tn5,1.814,17.209,100,0.17209,172.09
ea_tn7,1.204,14.795,50,0.2959,295.9
ea_tn7,0.965,19,50,0.38,380
